Study ID,Study_Publication_Year,Study Class,Treatment Focus (Study level),N Randomized,N Randomized Detail,PTSD Criteria Met at Baseline Percent,PTSD Criteria Met at Baseline Percent Detail,PTSD Severity at Baseline Definition,PTSD Severity at Baseline Mean,PTSD Severity at Baseline Standard Deviation,PTSD Severity at Baseline Detail,Additional PTSD Severity Data,Duration of Symptoms/Diagnosis Mean,Duration of Symptoms/Diagnosis Standard Deviation,Duration of Symptoms/Diagnosis Detail,Active Duty Military Percent,Service-Connected Veteran Percent,Service-Connected Veteran Percent Detail,Veteran Percent,Community Percent,Military Status,Military Status Detail,Age Mean,Age Standard Deviation,Age Detail,Female Percent,Female Detail,Male Percent,Race/Ethnicity Reported,"Race, White","Race, Black","Race, AIAN","Race, Asian","Race, NHPI","Race, Other","Race, Detail","Ethnicity, Hispanic","Ethnicity, Hispanic Detail",Percent Treatment-naive,Percent Treatment-naive Detail,Percent with Depression,Percent with Depression Detail,Percent with TBI History,Percent with TBI History Detail,Trauma Type,Trauma Detail,Trauma Types Mean,Trauma Types Standard Deviation,Trauma Types Detail,Trauma Events Mean,Trauma Events Standard Deviation,Trauma Events Detail,SUD Substance Class,SUD Specific Substance Target,Current SUD Inclusion/Exclusion Criteria,Percent With Any SUD Detail,Patients with Suicidality Excluded,Suicide or Self-Directed Violence Exclusion/Inclusion Criteria,Suicide or Self-Directed Violence Definition,Suicide or Self-Directed Violence Percent,Suicide or Self-Directed Violence Detail,Psychotic Disorder or Symptom Inclusion/Exclusion Criteria,Psychotic Disorder or Symptom Related Definition,Psychotic Disorder or Symptom Related Percent,Psychotic Disorder or Symptom Related Detail,Personality Disorder Definition,Personality Disorder Percent,Personality Disorder Detail,Anxiety Disorder Definition,Anxiety Disorder Percent,Anxiety Disorder Detail,Prior Inpatient Hospitalization Percent,Prior Inpatient Hospitalization Percent Detail,Geometric Point,Risk of Bias Rating,Citation,PTSDPubs ID,Year Added to PTSD-Repository
battersby2013,2013,Collaborative care,PTSD,82,,0.9481,,PCL-M,53.08,11.8,N analyzed = 72,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,60.4,2.99,,,,,,,,,,,,,,,,,0.7922,,,,,,,,,,,,,,Included,Alcohol dependence: 53.25%,,,,,,,,,,,,,,,"Generalized anxiety disorder by DSM-IV-TR criteria: 10.39%


Panic disorder by DSM-IV-TR criteria: 7.79%",,,POINT (134.491 -25.73289),High,"Battersby MW, Beattie J, Pols RG, et al. A randomised controlled trial of the Flinders Program™ of chronic condition management in Vietnam veterans with co-morbid alcohol misuse, and psychiatric and medical conditions. Aust N Z J Psychiatry. 2013 May;47(5):451-62. doi: 10.1177/0004867412471977. PMID: 23307806.",1587974,2020
beck2009,2009,Psychotherapy,PTSD,44,,1,,CAPS,57.5,15.2,completers only,Additional definitions of PTSD severity at baseline reported in the study,4.4,8.34,,,,,,1,Community,,43.3,12.8,,0.8182,,0.1818,Race and Ethnicity data reported,0.8864,0.0909,,,,0.0227,,0.0227,,,,,,,,Accidents,,,,,,,45% of participants reported additional traumatic events,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Beck JG, Coffey SF, Foy DW, et al. Group cognitive behavior therapy for chronic posttraumatic stress disorder: an initial randomized pilot study. Behav Ther. 2009 Mar;40(1):82-92. doi: 10.1016/j.beth.2008.01.003. PMID: 19187819.",32054,2019
beck2021,2021,Psychotherapy & CIH,PTSD,74,,1,,HTQ,3.16,0.47,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,42,,,0.4189,,0.5811,,,,,,,,,,,,,,,,,Mixed,"Terrorism/political violence/forced displacement; Other (child abuse, unspecified); Other (adult abuse, unspecified)",,,,,,,,,Excluded,Substance abuse: 0% (excluded),,,,,,,,,,,,,,,,,,POINT (10.02799 55.98126),High,"Beck BD, Meyer SL, Simonsen E, et al. Music therapy was noninferior to verbal standard treatment of traumatized refugees in mental health care: results from a randomized clinical trial. Eur J Psychotraumatol. 2021 Jul 6;12(1):1930960. doi: 10.1080/20008198.2021.1930960. PMID: 34285768.",1574199,2022
becker2007,2007,Pharmacotherapy,PTSD,30,,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,0.7857,0.2143,Mixed,,50.39,7.46,,0.2143,,0.7857,Race data reported,0.2857,0.6429,,,,0.0714,,,,,,,,,,Mixed,"combat-related, child sexual abuse, child physical abuse, intimate partner violence, rape/sexual assault, accidents, illness/medical procedure, other (homicide, death/suicide of a loved one)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Becker ME, Hertzberg MA, Moore SD, et al. A placebo-controlled trial of bupropion SR in the treatment of chronic posttraumatic stress disorder. J Clin Psychopharmacol. 2007 Apr;27(2):193-7. doi: 10.1097/JCP.0b013e318032eaed. PMID: 17414245.",31131,2019
beidel2011,2011,Psychotherapy,PTSD,35,,1,,CAPS,87.7,14.3,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,,,,0,,1,Race data reported,1,,,,,,,,,,,,,0%,,Combat-related,,,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Beidel DC, Frueh BC, Uhde TW, et al. Multicomponent behavioral treatment for chronic combat-related posttraumatic stress disorder: a randomized controlled trial. J Anxiety Disord. 2011 Mar;25(2):224-31. doi: 10.1016/j.janxdis.2010.09.006. PMID: 20951543.",35248,2019
bell2019,2019,Other mixed,PTSD,24,characteristics reported for N analyzed = 23,,,PCL-5,47.92,12.45,,Additional definitions of PTSD severity at baseline reported in the study,,,≥6 months since traumatic event,0,,,,1,Community,,44.17,11.22,,,,,,,,,,,,,,,,,,,0%,Moderate or severe TBI,Mixed,"combat-related, rape/sexual assault, community/school violence, illness/medical procedure, natural or manmade disasters, child other abuse, other (""work-related trauma [e.g. first responders]"")",,,,6,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Bell AN, Moss D, Kallmeyer RJ. Healing the neurophysiological roots of trauma: a controlled study examining loreta z-score neurofeedback and HRV biofeedback for chronic PTSD. NeuroRegulation. 2019;6(2):54-70. doi: 10.15540/nr.6.2.54.",1515967,2020
bellehsen2021,2021,CIH,PTSD,40,,1,,CAPS-5,39.9,9,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,51.6,11.4,,0.15,,0.85,Race and Ethnicity data reported,0.575,0.225,0.1,,,0.1,"""Other or not reported"" abstracted here as Other",0.175,Caucasian (Hispanic); Hispanic ethnicity NR with other race groups,0%,"Participant inclusion required ""a stable treatment regimen of medication and/or psychotherapy for PTSD that had been in place for at least 2 months before study enrollment""",,,,,Mixed,Combat-related; Rape/sexual assault; Illness/medical procedure; Natural or manmade disasters; Other (other traumatic event),,,,,,,,,Excluded,"Excluded patients who ""reported substance dependence that had not been in remission for at least 3 months""",,,,,,,,0,"""Current acute symptoms of psychosis"" excluded",,,,,,,,,POINT (-95.71289 37.09024),Low,"Bellehsen M, Stoycheva V, Cohen BH, et al. A pilot randomized controlled trial of transcendental meditation as treatment for posttraumatic stress disorder in veterans. J Trauma Stress. 2021 Mar 18;18:18. doi: 10.1002/jts.22665. PMID: 33734493.",1554186,2022
belleville2018,2018,Psychotherapy,PTSD,42,,1,,Modified PSS-SR,66.89,22.56,,Additional definitions of PTSD severity at baseline reported in the study,,,"age at time of assault: 42.86% child [0 to 12 years], 19.05% adolescent [13 to 17], 38.10% adult [≥18]",0,0,,0,1,Community,,,,,0.881,,0.119,,,,,,,,,,,,57.14% without current use of psychotropic medications,,26.19% with mood disorder,,,Mixed,"child sexual abuse, rape/sexual assault",,,,,,repeated event for 64.29%,,,Excluded,0% (current),,,Suicidal thoughts requiring immediate intervention,0,,,"Past or


present psychotic episode",0,,,,,Anxiety disorder: SCID-IV,0.1667,,,,POINT (-106.3468 56.13037),Some Concerns,"Belleville G, Dube-Frenette M, Rousseau A. Efficacy of imagery rehearsal therapy and cognitive behavioral therapy in sexual assault victims with posttraumatic stress disorder: a randomized controlled trial. J Trauma Stress. 2018 Aug;31(4):591-601. doi: 10.1002/jts.22306. PMID: 30070398.",50883,2020
bichescu2007,2007,Psychotherapy,PTSD,18,,1,,CIDI,11.6,2.4,,Additional definitions of PTSD severity at baseline reported in the study,42,6.3,,,,,,1,Community,,69.4,5.3,,0.0556,,0.9444,,,,,,,,,,,,,,,,,Terrorism/political violence/forced displacement,,,,,,,mean 13.7 [SD 3.7] mistreatments during detention,,,,,,,,,,,,,,,,,,,,,,POINT (10.38578 51.10698),High,"Bichescu D, Neuner F, Schauer M, et al. Narrative exposure therapy for political imprisonment-related chronic posttraumatic stress disorder and depression. Behav Res Ther. 2007 Sep;45(9):2212-20. doi: 10.1016/j.brat.2006.12.006. PMID: 17288990.",29906,2019
bisson2020,2020,Psychotherapy,PTSD,42,,1,CAPS-5,CAPS-5,48,7.67,,Additional definitions of PTSD severity at baseline reported in the study,19.28,14.17,Time since trauma,0,,,1,0,Veteran,,42.1,11.12,,0,,1,Race data reported,0.952,0.024,,,,0.024,"Study provides categories as ""White British, African, or Any other Mixed/multiple ethnic background""; categorized in this data as, respectively, White, Black, Other.",,,0%,Previous trauma-focused therapy was an inclusion criterion,0.452,Comorbid depressive disorder,,,Mixed,"Combat-related, Rape/sexual assault, Community/school violence, Other (""severe human suffering"", ""serious injury, harm or death you caused to someone"", ""fire or explosion"", ""exposure to a war zone, sudden violent death, sudden unexpected death of smoeone close to you"", ""captivity"")",,,,,,,,,Excluded,Substance dependence: 0% (excluded),,,,,Excluded current suicidal ideation,,,,Excluded current psychosis,,,,,,,,,POINT (-2.865634 54.12387),Low,"Bisson JI, van Deursen R, Hannigan B, Kitchiner N, Barawi K, Jones K, Pickles T, Skipper J, Young C, Abbott LR, van Gelderen M, Nijdam MJ, Vermetten E. Randomized controlled trial of multi-modular motion-assisted memory desensitization and reconsolidation (3MDR) for male military veterans with treatment-resistant post-traumatic stress disorder. Acta Psychiatr Scand. 2020 Aug;142(2):141-151. doi: 10.1111/acps.13200. Epub 2020 Jun 28. PMID: 32495381.",1554186,2022
bisson2022,2022,Other mixed,PTSD,196,,1,,CAPS-5,35.1,6.7,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,36.5,13.4,,0.638,,0.362,Race data reported,0.9184,0.0255,,0.0357,,0.0051,,,,,,0.571,history of depressive disorder diagnosed by a health professional,,,Mixed,"Child physical abuse; Child sexual abuse; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (""Serious incident not transportation; Sudden unexpected death of someone close; Sudden violent death; Life threatening injury; Captivity; Severe human suffering; Serious injury, harm, or death caused to someone; Other unwanted sexual experience; Any other stressful event or experience"")",,,,5.5,,"Excluded patients with ""current 
PTSD symptoms to more than one traumatic event"" but ""individuals who experienced multiple traumatic events were included if their current PTSD symptoms were to one traumatic event.""",,,Excluded,Substance dependence: 0% (excluded),,,,,"Excluded: ""active suicide risk""",,Diagnosis of psychosis,0,Exclusion criterion,,,,History of anxiety disorder diagnosed by a health professional,0.658,,,,POINT (-2.865634 54.12387),Low,"Bisson JI, Ariti C, Cullen K, et al. Guided, internet based, cognitive behavioural therapy for post-traumatic stress disorder: pragmatic, multicentre, randomised controlled non-inferiority trial (RAPID). BMJ. 2022;377:e069405. doi: 10.1136/bmj-2021-069405. PMID: 35710124.",1594681,2023
blanchard2003,2003,Psychotherapy,PTSD,98,,0.8265,,CAPS,66.9,23.4,,Additional definitions of PTSD severity at baseline reported in the study,12.9,8.8,,,,,,1,Community,,39.9,11.9,,0.7347,,0.2653,Race data reported,0.898,,,,,0.102,,,,,,,,,,Accidents,,,,,,,,,,,,,,,,,,,,,,,,Generalized anxiety disorder: SCID (completer only),0.346,,,,POINT (-95.71289 37.09024),High,"Blanchard EB, Hickling EJ, Devineni T, et al. A controlled evaluation of cognitive behavioural therapy for posttraumatic stress in motor vehicle accident survivors. Behav Res Ther. 2003 Jan;41(1):79-96.  PMID: 12488121.",25272,2019
boals2015,2015,Other study class,PTSD,70,,1,,PCL-S,49.34,14.91,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,21.2,4.7,,,,,Race and Ethnicity data reported,0.4429,0.1571,,0.0286,,0.3714,,0.3286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Boals A, Murrell AR, Berntsen D, et al. Experimentally reducing event centrality using a modified expressive writing intervention. J Contextual Behav Sci. 2015 Oct;4(4):269-76. doi: 10.1016/j.jcbs.2015.10.001.",1548485,2019
boggio2010,2010,Nonpharmacologic biological,PTSD,30,,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,3.91,4.42,,,,,,1,Community,,44.5,4.4,,0.7,,0.3,,,,,,,,,,,,,,,0%,,Mixed,"rape/sexual assault, community/school violence, other (death or severe disease of relative, perceived physical harm/psychological distress)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-53.09783 -10.78778),Some Concerns,"Boggio PS, Rocha M, Oliveira MO, et al. Noninvasive brain stimulation with high-frequency and low-intensity repetitive transcranial magnetic stimulation treatment for posttraumatic stress disorder. J Clin Psychiatry. 2010 Aug;71(8):992-9. doi: 10.4088/JCP.08m04638blu. PMID: 20051219.",33726,2019
bohus2013,2013,Psychotherapy,PTSD,82,,1,,CAPS,85.2,16.4,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,35.95,10.22,,1,,0,,,,,,,,,,,0%,,0.7973,,,,Child sexual abuse,,,,,,,,,,,,,,One or more events of NSSI behaviors during the 18 weeks prior to randomization,0.7,,,,,,Meeting ≥ 5 of the 9 DSM-IV BPD criteria,0.4459,,,,,,67% in the year before randomization,POINT (10.38578 51.10698),Some Concerns,"Bohus MJ, Dyer AS, Priebe K, et al. Dialectical behaviour therapy for post-traumatic stress disorder after childhood sexual abuse in patients with and without borderline personality disorder: a randomised controlled trial. Psychother Psychosom. 2013 Jun;82(4):221-33. doi: 10.1159/000348451. PMID: 23712109.",41533,2019
bohus2020,2020,Psychotherapy,PTSD,193,200 randomized but 7 later found ineligible and excluded,1,DSM-5 diagnosis following sexual or physical abuse before age 18 years,CAPS-5,40.44,9.96,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,0,,0,1,Community,,36.3,11.1,,1,Inclusion criterion,0,,,,,,,,,,,10.90%,89.1% with prior psychotherapy or pscyhiatric treatment,,,,,Mixed,"Child physical abuse, Child sexual abuse",,,,,,,,,Excluded,Current substance dependence: 0% (excluded),,,"≥1 suicide attempt, lifetime





Nonsuicidal self-injury at least once in last month",,,,,0,Lifetime schizophrenia exclusion criteria,3 or more DSM-5 criteria for borderline personality disorder,1,Inclusion criterion,,,,,,POINT (10.38578 51.10698),Some Concerns,"Bohus M, Kleindienst N, Hahn C, et al. Dialectical behavior therapy for posttraumatic stress disorder (DBT-PTSD) compared with cognitive processing therapy (CPT) in complex presentations of PTSD in women survivors of childhood abuse: a randomized clinical trial. JAMA Psychiatry. 2020 Jul 22;22:22. doi: 10.1001/jamapsychiatry.2020.2148. PMID: 32697288.",1556502,2022
bomyea2015,2015,Nonpharmacologic cognitive,PTSD,42,,1,,CAPS,64.24,13.77,,Additional definitions of PTSD severity at baseline reported in the study,10.27,11.62,,,,,,1,Community,,28,10.65,,1,,0,Race data reported,0.6905,0.0714,,0.2143,,0.0238,,,,,,0.524,,,,Rape/sexual assault,,,,,4.93,2.25,,,,Included,9.50%,,,,,,,,,,,,,Anxiety disorders: SCID-IV,0.476,,,,POINT (-95.71289 37.09024),High,"Bomyea J, Stein MB, Lang AJ. Interference control training for PTSD: A randomized controlled trial of a novel computer-based intervention. J Anxiety Disord. 2015 Aug;34:33-42. doi: 10.1016/j.janxdis.2015.05.010. PMID: 26114901.",44517,2019
bonnmiller2021,2021,Pharmacotherapy,PTSD,80,"80 randomized, 76 completed Stage 1 outcome assessment",1,,CAPS-5,37.2,7.3,,Additional definitions of PTSD severity at baseline reported in the study,,,inclusion required symptom duration at least 6 months,0,,,1,0,Veteran,,44.9,13.8,,0.1,,0.9,Race data reported,0.663,,,,,0.337,Study reports non-Hispanic white and other,,,,,,,,,Mixed,"combat-related, other (not specified)",,,,,,,,,Excluded,Current moderate-severe Cannabis Use Disorder: 0% (excluded),,,,,,,,0,Exclusion criteria,,0,Exclusion criteria,,,,,,POINT (-95.71289 37.09024),High,"Bonn-Miller MO, Sisley S, Riggs P, et al. The short-term impact of 3 smoked cannabis preparations versus placebo on PTSD symptoms: A randomized cross-over clinical trial. PLoS One. 2021;16(3):e0246990. doi: 10.1371/journal.pone.0246990. PMID: 33730032.",1566890,2022
bormann2008,2008,CIH,PTSD,29,,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,1,,Veteran,,56,6.57,,0,,1,Race and Ethnicity data reported,0.66,0.14,,,,0.2,,0.1,,,,,,,,Combat-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"Bormann JE, Thorp S, Wetherell JL, et al. A spiritually based group intervention for combat veterans with posttraumatic stress disorder: feasibility study. J Holist Nurs. 2008 Jun;26(2):109-16. doi: 10.1177/0898010107311276. PMID: 18356284.",30929,2019
bormann2013,2013,CIH,PTSD,146,,1,,CAPS,82.95,17.86,,Additional definitions of PTSD severity at baseline reported in the study,32,11.95,,,,,1,,Veteran,,57,10.1,,0.0274,,0.9726,Race and Ethnicity data reported,0.5822,0.2466,,,,0.1712,,0.0959,,84.00%,,0.8014,,,,Combat-related,,,,,,,,,,Excluded,"AUD: 0%


SUD: NR",,,,,,,,,,,,,,,"Obsessive–Compulsive Disorder: 33.56%;


Generalized Anxiety Disorder: 56.16%",,,POINT (-95.71289 37.09024),Low,"Bormann JE, Thorp SR, Wetherell JL, et al. Meditation-based mantram intervention for veterans with posttraumatic stress disorder: A randomized trial. Psychol Trauma. 2013 May;5(3):259-67. doi: 10.1037/a0027522.",38465,2019
bormann2018,2018,CIH,PTSD,173,,1,,CAPS,76.56,16.65,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,48.88,14.57,,0.1503,,0.8497,Race and Ethnicity data reported,0.6416,0.1445,0.0347,0.0347,0.0405,0.104,"""More than one race"" reported here as ""other""",0.1734,,,,,,,,Other,"""related to military service""",,,,,,,,,Excluded,"AUDIT consumption items score ≥3 for women or ≥4 for men: 0% (excluded)


DAST score ≥6: 0% (excluded)",,,,,Excluded severe suicidal ideation,,Schizophrenia spectrum disorders on MINI,0,Excluded,,,,,,,,,POINT (-95.71289 37.09024),Low,"Bormann JE, Thorp SR, Smith E, et al. Individual treatment of posttraumatic stress disorder using mantram repetition: a randomized clinical trial. Am J Psychiatry. 2018 Oct 1;175(10):979-88. doi: 10.1176/appi.ajp.2018.17060611. PMID: 29921143.",50584,2022
boterhovendehaan2020,2020,Psychotherapy,PTSD,155,,1,,CAPS-5,37.78,13.33,"Using pre-treatment values, not values for those waitlisted",Additional definitions of PTSD severity at baseline reported in the study,17.94,14.59,,,,,,1,Community,,38.54,11.17,,0.768,,0.232,Race data reported,,,,0.039,,0.961,"Study reports as ""Ethnic background"" (e.g. Dutch, Moroccan); ""Asian"" entered in race data element, remaining categories do not match our list and are entered as ""other""",,"Study reports as ""Ethnic background"" (e.g. Dutch, Moroccan); ""Asian"" entered in race data element, remaining categories do not match our list and are entered as ""other""",18.70%,,,,,,Mixed,"Child physical abuse; Child sexual abuse; Child other abuse; Intimate partner violence; Other (""serious injury/death""); Other (not described)",,,Index trauma required to be a childhood trauma (prior to age 16),,,14% (22/155) experienced their index trauma once only; the remainder exerienced the index trauma multiples times,,,Excluded,"Excluded: ""alcohol or drug dependence""


Allowed: ""DSM-IV diagnosis of substance abuse""",,,,,,,,0,Exclusion criterion,,,,Anxiety disorders,0.561,comorbid disorder,0.252,,,Low,"Boterhoven de Haan KL, Lee CW, Fassbinder E, et al. Imagery rescripting and eye movement desensitisation and reprocessing as treatment for adults with post-traumatic stress disorder from childhood trauma: randomised clinical trial. Br J Psychiatry. 2020 11;217(5):609-15. doi: 10.1192/bjp.2020.158. PMID: 32892758.",1558454,2022
bottche2021,2021,Other study class,PTSD,224,"227 randomized, 3 excluded for not meeting criteria (no trauma at baseline)",1,,PDS,32.4,9.3,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,25.3,5.9,,0.674,,0.326,,,,,,,,,,,,,,,,,Mixed,Rape/sexual assault; Other (sexual intercourse before age 18 with someone 5 years older; proximity to death); Other (NR),,,,5.14,3.34,According to a trauma list from the PDS part I,,,Excluded,"Substance abuse, assessed by CIDI: 0%",,,,,"Excluded ""risk of suicide"" assessed with the CIDI",,"Psychotic symptoms, assessed with the CIDI",0,Excluded,,,,,,,,,,High,"Bottche M, Wagner B, Vohringer M, et al. Is only one cognitive technique also effective? Results from a randomized controlled trial of two different versions of an internet-based cognitive behavioural intervention for post-traumatic stress disorder in Arabic-speaking countries. Eur J Psychotraumatol. 2021 Jul 15;12(1):1943870. doi: 10.1080/20008198.2021.1943870. PMID: 34345377.",1574907,2022
